,Gene,chromosome,start,CNV (lr) RNA,CNV (baf) RNA,Methylation RNA,CNV (lr) Protein,CNV (baf) Protein,Methylation Protein,CNV (lr) Phospho,CNV (baf) Phospho,Methylation Phospho,Mutation RNA,Mutation Protein,Mutation Phospho
0,SEPT1,chr16,30378133,0,0,0,0,0,0,0,0,0,,,
1,SEPT2,chr2,241315100,1,0,0,0,0,0,0,0,0,,,
2,SEPT4,chr17,58520250,1,0,0,0,0,0,0,0,0,,,
3,SEPT5,chr22,19714464,1,0,0,0,0,0,0,0,0,,,
4,SEPT6,chrX,119615724,0,0,0,0,0,0,0,0,0,,,
5,SEPT7,chr7,35800932,1,0,0,1,0,0,1,0,0,,,
6,SEPT8,chr5,132750817,1,0,0,1,0,0,1,0,0,,,
7,SEPT9,chr17,77280569,1,0,0,1,0,0,1,0,0,,,
8,SEPT10,chr2,109542982,1,0,0,1,0,0,1,0,0,,,
9,SEPT11,chr4,76949703,0,0,0,0,0,0,0,0,0,,,
10,AAAS,chr12,53307456,1,0,0,0,0,0,0,0,0,,,
11,AAGAB,chr15,67201033,1,0,0,1,0,0,1,0,0,,,
12,AAK1,chr2,69457997,0,0,0,0,0,0,0,0,0,,,
13,AARS,chr16,70252295,1,0,0,1,0,0,1,0,0,,,
14,AARS2,chr6,44299654,1,0,0,1,0,0,1,0,0,,,
15,AATF,chr17,36948875,0,0,0,0,0,0,0,0,0,,,
16,ABCA1,chr9,104781002,0,0,0,0,0,0,0,0,0,,,
17,ABCA2,chr9,137007227,0,0,0,0,0,0,0,0,0,,,
18,ABCB1,chr7,87503633,0,0,0,0,0,0,0,0,0,,,
19,ABCB6,chr2,219209766,1,0,1,1,0,1,1,0,1,,,
20,ABCC1,chr16,15949577,0,0,1,0,0,1,0,0,1,,,
21,ABCC3,chr17,50634777,1,0,0,1,0,0,1,0,0,,,
22,ABCC4,chr13,95019829,1,0,0,1,0,0,1,0,0,,,
23,ABCE1,chr4,145097932,1,0,0,1,0,0,1,0,0,,,
24,ABCF1,chr6,30571376,1,0,0,1,0,0,1,0,0,,,
25,ABCF3,chr3,184186023,1,0,0,1,0,0,1,0,0,,,
26,ABHD15,chr17,29560547,0,0,1,0,0,1,0,0,1,,,
27,ABHD16A,chr6,31686949,1,0,0,1,0,0,0,0,0,,,
28,ABI1,chr10,26746593,1,0,0,1,0,0,1,0,0,,,
29,ABI2,chr2,203328219,1,0,0,1,0,0,1,0,0,,,
30,ABL1,chr9,130713946,1,0,0,1,0,0,1,0,0,,,
31,ABL2,chr1,179099327,1,0,0,1,0,0,1,0,0,,,
32,ABLIM2,chr4,7965310,0,0,0,0,0,0,0,0,0,,,
33,ABLIM3,chr5,149141483,1,0,1,1,0,1,1,0,1,,,
34,ABR,chr17,1003518,1,0,0,0,0,0,0,0,0,,,
35,ABTB2,chr11,34150988,1,0,0,0,0,0,0,0,0,,,
36,ACAA1,chr3,38103129,1,0,0,1,0,0,1,0,0,,,
37,ACACA,chr17,37084988,1,1,0,0,1,0,0,1,0,,,
38,ACAD11,chr3,132558138,1,0,0,0,0,0,0,0,0,,,
39,ACADVL,chr17,7217125,1,0,0,0,0,0,0,0,0,,,
40,ACAP1,chr17,7336529,0,0,0,0,0,0,0,0,0,,,
41,ACAP2,chr3,195274736,1,0,0,1,0,0,1,0,0,,,
42,ACAP3,chr1,1292376,1,0,0,0,0,0,0,0,0,,,
43,ACAT1,chr11,108121516,1,0,0,1,0,0,1,0,0,,,
44,ACBD3,chr1,226144679,1,0,0,1,0,0,1,0,0,,,
45,ACBD4,chr17,45132600,0,0,0,0,0,0,0,0,0,,,
46,ACBD5,chr10,27195214,1,0,0,1,0,0,1,0,0,,,
47,ACBD6,chr1,180269653,1,0,0,1,0,0,1,0,0,,,
48,ACIN1,chr14,23058564,1,0,0,1,0,0,1,0,0,,,
49,ACLY,chr17,41866908,1,0,1,1,0,1,1,0,1,,,
50,ACO1,chr9,32384603,1,1,0,1,1,0,1,1,0,,,
51,ACO2,chr22,41469125,1,0,0,1,0,0,1,0,0,,,
52,ACOX1,chr17,75941507,1,0,0,1,0,0,1,0,0,,,
53,ACP1,chr2,264140,1,0,0,1,0,0,1,0,0,,,
54,ACSL1,chr4,184755595,0,0,0,0,0,0,0,0,0,,,
55,ACSL3,chr2,222860934,0,0,0,0,0,0,0,0,0,,,
56,ACSL4,chrX,109624244,0,0,0,0,0,0,0,0,0,,,
57,ACSS2,chr20,34872146,1,0,0,1,0,0,1,0,0,,,
58,ACSS3,chr12,80936414,0,0,0,0,0,0,0,0,0,,,
59,ACTB,chr7,5527147,0,0,0,0,0,0,0,0,0,,,
60,ACTL6A,chr3,179562880,1,0,0,1,0,0,1,0,0,,,
61,ACTN1,chr14,68874143,1,0,0,1,0,0,1,0,0,,,
62,ACTN4,chr19,38647649,0,0,1,0,0,1,0,0,1,,,
63,ACTR10,chr14,58200080,0,0,0,0,0,0,0,0,0,,,
64,ACTR1A,chr10,102461881,1,0,0,1,0,0,1,0,0,,,
65,ACTR2,chr2,65227753,0,0,0,0,0,0,0,0,0,,,
66,ACTR8,chr3,53867066,1,0,0,1,0,0,1,0,0,,,
67,ACY1,chr3,51983278,0,0,0,0,0,0,0,0,0,,,
68,ADAM10,chr15,58588807,0,0,0,0,0,0,0,0,0,,,
69,ADAM17,chr2,9488486,1,0,0,0,0,0,0,0,0,,,
70,ADAM9,chr8,38996869,1,0,0,1,0,0,1,0,0,,,
71,ADAMTSL3,chr15,83654086,0,0,1,0,0,0,0,0,0,,,
72,ADAMTSL4,chr1,150549369,1,0,0,0,0,0,0,0,0,,,
73,ADAP2,chr17,30906344,0,0,0,0,0,0,0,0,0,,,
74,ADAR,chr1,154582057,1,1,0,1,1,0,1,1,0,,,
75,ADARB1,chr21,45073853,0,0,0,0,0,0,0,0,0,,,
76,ADAT1,chr16,75596981,1,0,1,1,0,1,1,0,1,,,
77,ADCY6,chr12,48766194,1,0,0,0,0,0,0,0,0,,,
78,ADCY9,chr16,3953387,1,0,0,0,0,0,0,0,0,,,
79,ADD1,chr4,2843857,0,0,0,0,0,0,0,0,0,,,
80,ADD2,chr2,70607618,0,0,0,0,0,0,0,0,0,,,
81,ADD3,chr10,109996368,1,0,0,1,0,0,1,0,0,,,
82,ADH5,chr4,99070978,1,0,0,1,0,0,1,0,0,,,
83,ADNP,chr20,50888916,1,0,0,1,0,0,1,0,0,,,
