,Gene,chromosome,start,CNV (lr) RNA,CNV (baf) RNA,Methylation RNA,CNV (lr) Protein,CNV (baf) Protein,Methylation Protein,CNV (lr) Phospho,CNV (baf) Phospho,Methylation Phospho,Mutation RNA,Mutation Protein,Mutation Phospho
0,ABL2,chr1,179068462,1,0,0,1,0,0,1,0,0,,,
1,ACBD3,chr1,226332380,1,0,0,1,0,0,1,0,0,,,
2,ADAMTSL4,chr1,150521884,0,0,0,0,0,0,0,0,0,,,
3,ADAR,chr1,154554538,1,0,0,1,0,0,1,0,0,,,
4,ADPRHL2,chr1,36554476,1,0,0,1,0,0,1,0,0,,,
5,AGO1,chr1,36335409,1,0,0,1,0,0,1,0,0,,,
6,AGO3,chr1,36396319,1,0,0,1,0,0,1,0,0,,,
7,AGRN,chr1,955503,1,0,0,0,0,0,0,0,0,,,
8,AGTRAP,chr1,11796141,1,0,0,1,0,0,1,0,0,,,
9,AHCYL1,chr1,110527308,1,0,0,1,0,0,1,0,0,,,
10,AHDC1,chr1,27860546,1,0,0,1,0,0,1,0,0,,,
11,AIDA,chr1,222841355,0,0,0,0,0,0,0,0,0,,,
12,AK2,chr1,33473585,0,0,0,0,0,0,0,0,0,,,
13,AKR1A1,chr1,46016215,1,0,0,1,0,0,1,0,0,,,
14,AKR7A2,chr1,19630459,1,0,0,1,0,0,1,0,0,,,
15,AKT3,chr1,243651535,0,0,0,0,0,0,0,0,0,,,
16,ALDH9A1,chr1,165631453,1,0,0,0,0,0,0,0,0,,,
17,ALPL,chr1,21835858,0,0,1,0,0,1,0,0,1,,,
18,AMPD2,chr1,110158726,1,0,0,1,0,0,1,0,0,,,
19,AP4B1,chr1,114437370,1,0,0,1,0,0,1,0,0,,,
20,ARHGAP29,chr1,94614544,1,0,0,1,0,0,1,0,0,,,
21,ARHGEF16,chr1,3370990,1,0,0,1,0,0,1,0,0,,,
22,ARHGEF2,chr1,155916630,1,0,0,1,0,0,1,0,0,,,
23,ARNT,chr1,150782181,0,0,0,0,0,0,0,0,0,,,
24,ARPC5,chr1,183592401,0,0,0,0,0,0,0,0,0,,,
25,ASH1L,chr1,155305059,1,0,0,1,0,0,1,0,0,,,
26,ATAD3A,chr1,1447531,1,0,0,1,0,0,1,0,0,,,
27,ATP1A1,chr1,116915290,1,0,0,0,0,0,0,0,0,,,
28,ATP1B1,chr1,169074935,0,0,0,0,0,0,0,0,0,,,
29,ATP2B4,chr1,203595689,1,0,0,1,0,0,1,0,0,,,
30,ATP8B2,chr1,154298029,0,0,0,0,0,0,0,0,0,,,
31,BCAR3,chr1,94027347,1,0,0,1,0,0,1,0,0,,,
32,BCL10,chr1,85731931,1,0,0,1,0,0,1,0,0,,,
33,BCL9,chr1,147013182,1,0,0,1,0,0,1,0,0,,,
34,BOLA1,chr1,149859440,1,0,1,1,0,1,1,0,0,,,
35,BRDT,chr1,92414928,0,0,1,0,0,1,0,0,1,,,
36,BSDC1,chr1,32830704,1,0,0,1,0,0,1,0,0,,,
37,C1orf109,chr1,38147242,0,0,0,0,0,0,0,0,0,,,
38,C1orf123,chr1,53679771,1,0,0,1,0,0,1,0,0,,,
39,C1orf131,chr1,231359509,1,0,0,1,0,0,1,0,0,,,
40,C1orf174,chr1,3805689,1,0,0,1,0,0,1,0,0,,,
41,C1orf198,chr1,230972865,1,0,0,0,0,0,0,0,0,,,
42,C1orf21,chr1,184356192,1,0,0,1,0,0,1,0,0,,,
43,C1orf35,chr1,228288427,1,0,0,1,0,0,1,0,0,,,
44,C1orf52,chr1,85715639,1,0,0,1,0,0,1,0,0,,,
45,C1orf56,chr1,151020216,0,0,0,0,0,0,0,0,0,,,
46,C1orf87,chr1,60452941,0,0,0,0,0,0,0,0,0,,,
47,CAMSAP2,chr1,200708686,1,0,0,1,0,0,1,0,0,,,
48,CAP1,chr1,40505905,1,0,0,1,0,0,1,0,0,,,
49,CAPN2,chr1,223889295,0,0,0,0,0,0,0,0,0,,,
50,CAPZB,chr1,19665267,0,0,0,0,0,0,0,0,0,,,
51,CASP9,chr1,15817327,1,0,0,1,0,0,1,0,0,,,
52,CASZ1,chr1,10696661,1,0,1,1,0,1,1,0,0,,,
53,CC2D1B,chr1,52811395,1,0,0,1,0,0,1,0,0,,,
54,CCDC18,chr1,93645476,1,0,0,0,0,0,0,0,0,,,
55,CCDC181,chr1,169364108,1,0,0,0,0,0,0,0,0,,,
56,CCT3,chr1,156278759,0,0,0,0,0,0,0,0,0,,,
57,CD34,chr1,208057594,0,0,0,0,0,0,0,0,0,,,
58,CD46,chr1,207925402,0,0,0,0,0,0,0,0,0,,,
59,CDC42,chr1,22379120,1,0,0,1,0,0,1,0,0,,,
60,CDC42BPA,chr1,227177566,1,0,0,1,0,0,1,0,0,,,
61,CDC73,chr1,193091147,1,0,0,1,0,0,1,0,0,,,
62,CDK11B,chr1,1570603,1,0,0,1,0,0,1,0,0,,,
63,CDK18,chr1,205473723,1,0,0,1,0,0,1,0,0,,,
64,CELSR2,chr1,109792641,0,0,0,0,0,0,0,0,0,,,
65,CENPF,chr1,214776538,0,0,0,0,0,0,0,0,0,,,
66,CEP104,chr1,3728645,0,0,0,0,0,0,0,0,0,,,
67,CEP170,chr1,243287730,1,0,0,1,0,0,1,0,0,,,
68,CEP350,chr1,179923873,1,0,0,1,0,0,1,0,0,,,
69,CEP85,chr1,26560691,1,0,0,1,0,0,1,0,0,,,
70,CEPT1,chr1,111682249,1,0,0,1,0,0,1,0,0,,,
71,CERS2,chr1,150933059,0,0,0,0,0,0,0,0,0,,,
72,CHD1L,chr1,146714291,1,0,0,1,0,0,1,0,0,,,
73,CHTOP,chr1,153606525,1,0,0,0,0,0,0,0,0,,,
74,CLCC1,chr1,109472130,1,0,0,1,0,0,1,0,0,,,
75,CLIC4,chr1,25071848,0,0,0,0,0,0,0,0,0,,,
76,CLK2,chr1,155232659,1,0,0,1,0,0,1,0,0,,,
77,CMPK1,chr1,47799469,1,0,1,1,0,1,1,0,0,,,
78,CNN3,chr1,95362507,1,0,0,1,0,0,1,0,0,,,
79,CNST,chr1,246729746,1,0,0,1,0,0,1,0,0,,,
80,COA6,chr1,234509202,1,0,0,1,0,0,1,0,0,,,
81,COG2,chr1,230778235,1,0,0,1,0,0,1,0,0,,,
82,COL16A1,chr1,32117848,0,0,0,0,0,0,0,0,0,,,
83,COPA,chr1,160259063,0,0,0,0,0,0,0,0,0,,,
84,CRABP2,chr1,156669398,1,0,0,0,0,0,0,0,0,,,
85,CROCC,chr1,17066768,1,0,0,1,0,0,1,0,0,,,
86,CRTC2,chr1,153920145,1,0,0,1,0,0,1,0,0,,,
87,CSRP1,chr1,201452658,1,0,0,1,0,0,1,0,0,,,
88,CTNNBIP1,chr1,9908334,1,0,0,1,0,0,1,0,0,,,
